Country	Processor	GradeType	Ram
Europe	QUALCOMM	Noble	16GB
SouthAmerica	LG	Elite	32GB
SouthAsia	NVIDIA	Noble	64GB
NorthAmerica	NVIDIA	Magnificent	32GB
Europe	LG	Magnificent	64GB
SouthAmerica	BCM	Fair	16GB
SouthAmerica	BCM	Magnificent	64GB
SouthAsia	LG	Fair	32GB
SouthAsia	QUALCOMM	Good	16GB
NorthAmerica	QUALCOMM	Fair	64GB
SouthAsia	LG	Magnificent	16GB
Europe	QUALCOMM	Elite	32GB
Europe	NVIDIA	Fair	16GB
NorthAmerica	NVIDIA	Elite	16GB
Europe	BCM	Good	32GB
SouthAmerica	QUALCOMM	Magnificent	64GB
SouthAmerica	NVIDIA	Good	64GB
NorthAmerica	LG	Noble	32GB
NorthAmerica	LG	Good	16GB
NorthAmerica	BCM	Elite	64GB
SouthAmerica	BCM	Noble	32GB
SouthAsia	BCM	Elite	32GB
